,title,year,advisory,movie_length,genre,rating,metascore,description,votes
0,251.Scary Stories to Tell in the Dark(2019),(2019),PG-13,108 min,"Adventure, Horror, Mystery",6.2,"61        
        Metascore","On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories.","Votes:
76,601
| Gross:
$62.74M"
1,254.Spider-Man: Homecoming(2017),(2017),PG-13,133 min,"Action, Adventure, Sci-Fi",7.4,"73        
        Metascore","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","Votes:
649,987
| Gross:
$334.20M"
2,255.Hook(1991),(1991),PG,142 min,"Adventure, Comedy, Family",6.8,"52        
        Metascore","When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.","Votes:
254,401
| Gross:
$119.65M"
3,256.Star Wars: Episode VII - The Force Awakens(2015),(2015),PG-13,138 min,"Action, Adventure, Sci-Fi",7.8,"80        
        Metascore","As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","Votes:
925,695
| Gross:
$936.66M"
4,257.Thor(2011),(2011),PG-13,115 min,"Action, Adventure, Fantasy",7.0,"57        
        Metascore","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","Votes:
844,542
| Gross:
$181.03M"
5,260.Spectre(I) (2015),(I) (2015),PG-13,148 min,"Action, Adventure, Thriller",6.8,"60        
        Metascore","A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","Votes:
439,378
| Gross:
$200.07M"
6,261.Alice in Wonderland(I) (2010),(I) (2010),PG,108 min,"Adventure, Family, Fantasy",6.4,"53        
        Metascore","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.","Votes:
414,202
| Gross:
$334.19M"
7,262.The Wizard of Oz(1939),(1939),PG,102 min,"Adventure, Family, Fantasy",8.1,"92        
        Metascore","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Votes:
398,210
| Gross:
$2.08M"
8,264.The Witches(1990),(1990),PG,91 min,"Adventure, Comedy, Family",6.8,"78        
        Metascore","A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.","Votes:
50,473
| Gross:
$10.36M"
9,265.Adventures in Babysitting(1987),(1987),PG-13,102 min,"Adventure, Comedy, Crime",6.9,"45        
        Metascore",A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.,"Votes:
44,792
| Gross:
$34.37M"
10,268.Mortal Kombat(2021),(2021),R,110 min,"Action, Adventure, Fantasy",6.1,"44        
        Metascore",MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,"Votes:
172,055
| Gross:
$42.20M"
11,270.Ratatouille(2007),(2007),G,111 min,"Animation, Adventure, Comedy",8.1,"96        
        Metascore",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Votes:
728,814
| Gross:
$206.45M"
12,271.The Mortal Instruments: City of Bones(2013),(2013),PG-13,130 min,"Action, Adventure, Fantasy",5.8,"33        
        Metascore","When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.","Votes:
134,621
| Gross:
$31.17M"
13,272.Skyfall(2012),(2012),PG-13,143 min,"Action, Adventure, Thriller",7.8,"81        
        Metascore","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","Votes:
694,740
| Gross:
$304.36M"
14,273.Divergent(2014),(2014),PG-13,139 min,"Action, Adventure, Mystery",6.6,"48        
        Metascore","In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.","Votes:
459,578
| Gross:
$150.95M"
15,274.Frozen(I) (2013),(I) (2013),PG,102 min,"Animation, Adventure, Comedy",7.4,"75        
        Metascore","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","Votes:
621,761
| Gross:
$400.74M"
16,276.Moana(I) (2016),(I) (2016),PG,107 min,"Animation, Adventure, Comedy",7.6,"81        
        Metascore","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","Votes:
333,132
| Gross:
$248.76M"
